fig	hash	detector	severity	detail
rejonowy_2014-2015_malopolskie_q14_fig1.png	84692633	image-clipped	high	1925px of the figure image lies outside the box (44px overshoot)
rejonowy_2022_lubelskie_q6_fig1.png	890a5740	image-clipped	high	870px of the figure image lies outside the box (117px overshoot)
szkolny_2017_podkarpackie_q19_fig1.png	db2c37a6	image-clipped	high	470px of the figure image lies outside the box (341px overshoot)
szkolny_2019_kujawsko-pomorskie_q7_fig1.png	1b4833e7	image-clipped	high	1525px of the figure image lies outside the box (28px overshoot)
szkolny_2020-2021_pomorskie_q1_fig1.png	c1e769fd	image-clipped	high	377px of the figure image lies outside the box (29px overshoot)
szkolny_2025_podlaskie_q24_fig1.png	da7490ed	image-clipped	high	629px of the figure image lies outside the box (29px overshoot)
wojewodzki_2012-2013_slaskie_q9_fig1.png	ca61d51c	image-clipped	high	641px of the figure image lies outside the box (18px overshoot)
wojewodzki_2014-2015_malopolskie_q12_fig1.png	7332d984	image-clipped	high	1240px of the figure image lies outside the box (41px overshoot)
wojewodzki_2014-2015_malopolskie_q7_fig1.png	e2d1d201	image-clipped	high	1394px of the figure image lies outside the box (70px overshoot)
wojewodzki_2020_mazowieckie_q8_fig1.png	c9ffed7d	image-clipped	high	375px of the figure image lies outside the box (14px overshoot)
wojewodzki_2020_podkarpackie_q15_fig1.png	c166e94c	image-clipped	high	258px of the figure image lies outside the box (34px overshoot)
wojewodzki_2022-2023_malopolskie_q15_fig1.png	4de35b18	image-clipped	high	305px of the figure image lies outside the box (35px overshoot)
wojewodzki_2023-2024_slaskie_q1_fig2.png	90cee0dd	image-clipped	high	630px of the figure image lies outside the box (32px overshoot)
wojewodzki_2024-2025_slaskie_q17_fig1.png	19a42c92	image-clipped	high	2864px of the figure image lies outside the box (47px overshoot)
wojewodzki_2025_kujawsko-pomorskie_q4_fig1.png	55345ba1	image-clipped	high	3379px of the figure image lies outside the box (18px overshoot)
rejonowy_2020_podlaskie_q6_fig1.png	ff66f7e6	label-straddles-edge	high	'F' 88% inside
rejonowy_2022_podlaskie_q27_fig1.png	f1ebd535	label-straddles-edge	high	'(patrz' 11% inside
szkolny_2014_podlaskie_sp_q12_fig1.png	560bec22	label-straddles-edge	high	'10' 80% inside
szkolny_2020_kujawsko-pomorskie_q16_fig1.png	856ebd9b	label-straddles-edge	high	'𝑎' 79% inside
szkolny_2021_lodzkie_q6_fig1.png	258a1d63	label-straddles-edge	high	'4 cm' 80% inside
szkolny_2021_lodzkie_q6_fig1.png	258a1d63	label-straddles-edge	high	'3cm' 36% inside
szkolny_2021_lodzkie_q6_fig1.png	258a1d63	label-straddles-edge	high	'2cm                                                                                 6cm' 83% inside
szkolny_2021_lodzkie_q6_fig1.png	258a1d63	label-straddles-edge	high	'2cm' 83% inside
szkolny_2021_lodzkie_q6_fig1.png	258a1d63	label-straddles-edge	high	'10cm' 71% inside
wojewodzki_2011_podkarpackie_q6_fig1.png	d42fefd8	label-straddles-edge	high	'1                    2                             3' 73% inside
wojewodzki_2012_podlaskie_sp_q9_fig1.png	07e8286f	label-straddles-edge	high	'1m' 16% inside
wojewodzki_2013_podlaskie_gim_q8_fig1.png	e4987214	label-straddles-edge	high	'1' 72% inside
wojewodzki_2013_podlaskie_gim_q8_fig1.png	e4987214	label-straddles-edge	high	'x' 77% inside
wojewodzki_2018-2019_slaskie_q1_fig1.png	44c3ad4c	label-straddles-edge	high	'h)' 17% inside
wojewodzki_2019_podkarpackie_q6_fig1.png	8212fead	label-straddles-edge	high	'I                                II' 55% inside
wojewodzki_2019_podkarpackie_q9_fig1.png	2544fe14	label-straddles-edge	high	'S' 72% inside
wojewodzki_2019_podlaskie_q12_fig1.png	a56c8e7d	label-straddles-edge	high	'\uf03d' 84% inside
wojewodzki_2019_podlaskie_q21_fig1.png	0021c7c4	label-straddles-edge	high	'k' 87% inside
wojewodzki_2022_lubuskie_q20_fig1.png	56f3f378	label-straddles-edge	high	'I.' 87% inside
wojewodzki_2022_lubuskie_q20_fig1.png	56f3f378	label-straddles-edge	high	'II.' 87% inside
wojewodzki_2022_lubuskie_q20_fig1.png	56f3f378	label-straddles-edge	high	'III.' 87% inside
rejonowy_2020_podkarpackie_q6_fig1.png	b10db80c	no-quantity	high	quantitative choices, no number in prompt or figure
rejonowy_2024_dolnoslaskie_q3_fig1.png	050e2258	no-quantity	high	quantitative choices, no number in prompt or figure
rejonowy_2025_kujawsko-pomorskie_q7_fig1.png	446a0617	no-quantity	high	quantitative choices, no number in prompt or figure
rejonowy_2026_dolnoslaskie_q2_fig1.png	9943cace	no-quantity	high	quantitative choices, no number in prompt or figure
szkolny_2020_podkarpackie_q12_fig1.png	296ff1d7	no-quantity	high	quantitative choices, no number in prompt or figure
